time,pm1,pm2.5,pm10,fullserwords
2016-11-14_20:55:54,101,142,174
2016-11-14_20:55:54,101,142,174
2016-11-14_20:55:55,101,141,175
2016-11-14_20:55:56,101,141,175
2016-11-14_20:55:57,101,141,175
2016-11-14_20:55:58,102,140,177
2016-11-14_20:55:59,102,140,177
2016-11-14_20:55:59,102,140,177
2016-11-14_20:56:00,103,141,178
2016-11-14_20:56:01,103,141,178
2016-11-14_20:56:02,103,141,178
2016-11-14_20:56:03,104,141,177
2016-11-14_20:56:04,104,141,177
2016-11-14_20:56:04,104,141,177
2016-11-14_20:56:05,104,141,178
2016-11-14_20:56:06,104,141,178
2016-11-14_20:56:07,104,141,178
2016-11-14_20:56:08,105,144,183
2016-11-14_20:56:09,106,145,185
2016-11-14_20:56:09,105,144,183
2016-11-14_20:56:10,106,144,183
2016-11-14_20:56:11,107,143,177
2016-11-14_20:56:12,104,141,172
2016-11-14_20:56:13,109,145,173
2016-11-14_20:56:14,108,146,170
2016-11-14_20:56:14,107,149,172
2016-11-14_20:56:15,106,148,169
2016-11-14_20:56:16,104,143,165
2016-11-14_20:56:17,98,137,154
2016-11-14_20:56:18,99,136,155
2016-11-14_20:56:19,94,131,152
2016-11-14_20:56:19,91,127,149
2016-11-14_20:56:20,89,127,151
2016-11-14_20:56:21,83,119,148
2016-11-14_20:56:22,84,119,151
2016-11-14_20:56:23,82,116,148
2016-11-14_20:56:24,84,116,148
2016-11-14_20:56:24,85,117,149
2016-11-14_20:56:25,84,115,146
2016-11-14_20:56:26,77,108,139
2016-11-14_20:56:27,79,113,142
2016-11-14_20:56:28,86,119,148
2016-11-14_20:56:29,87,120,149
2016-11-14_20:56:29,87,119,143
2016-11-14_20:56:30,84,119,141
2016-11-14_20:56:31,86,122,143
2016-11-14_20:56:32,86,122,143
2016-11-14_20:56:33,86,123,149
2016-11-14_20:56:34,86,123,149
2016-11-14_20:56:34,86,123,149
2016-11-14_20:56:35,88,126,157
2016-11-14_20:56:36,88,126,157
2016-11-14_20:56:37,88,126,157
2016-11-14_20:56:38,92,131,166
2016-11-14_20:56:39,92,131,165
2016-11-14_20:56:39,92,131,165
2016-11-14_20:56:40,101,141,178
2016-11-14_20:56:41,102,144,181
2016-11-14_20:56:42,98,140,181
2016-11-14_20:56:43,104,145,187
2016-11-14_20:56:44,107,152,193
2016-11-14_20:56:44,104,145,185
2016-11-14_20:56:45,103,142,183
2016-11-14_20:56:46,101,141,175
2016-11-14_20:56:47,101,140,168
2016-11-14_20:56:48,96,136,163
2016-11-14_20:56:49,89,125,149
2016-11-14_20:56:49,83,118,138
2016-11-14_20:56:50,79,112,129
2016-11-14_20:56:51,79,112,129
2016-11-14_20:56:52,79,112,129
2016-11-14_20:56:53,75,106,122
2016-11-14_20:56:54,72,103,118
2016-11-14_20:56:54,75,104,122
2016-11-14_20:56:55,74,104,120
2016-11-14_20:56:56,74,105,120
2016-11-14_20:56:57,72,104,122
2016-11-14_20:56:58,75,108,127
2016-11-14_20:56:59,77,113,137
2016-11-14_20:56:59,77,114,139
2016-11-14_20:57:00,83,122,151
2016-11-14_20:57:01,83,124,154
2016-11-14_20:57:02,83,123,155
2016-11-14_20:57:03,85,126,158
2016-11-14_20:57:04,85,126,158
2016-11-14_20:57:04,85,126,158
2016-11-14_20:57:05,83,123,157
2016-11-14_20:57:06,80,118,155
2016-11-14_20:57:07,82,117,155
2016-11-14_20:57:08,83,118,159
2016-11-14_20:57:09,87,123,161
2016-11-14_20:57:09,91,126,163
2016-11-14_20:57:10,88,125,160
2016-11-14_20:57:11,88,125,160
2016-11-14_20:57:12,88,126,158
2016-11-14_20:57:13,91,127,159
2016-11-14_20:57:14,92,130,159
2016-11-14_20:57:14,93,130,157
2016-11-14_20:57:15,91,130,157
2016-11-14_20:57:16,92,130,154
2016-11-14_20:57:17,94,136,160
2016-11-14_20:57:18,97,138,168
2016-11-14_20:57:19,101,141,173
2016-11-14_20:57:19,103,140,173
2016-11-14_20:57:20,107,146,177
2016-11-14_20:57:21,107,148,179
2016-11-14_20:57:22,109,151,186
2016-11-14_20:57:23,112,154,189
2016-11-14_20:57:24,113,155,190
2016-11-14_20:57:24,115,157,191
2016-11-14_20:57:25,115,155,188
2016-11-14_20:57:26,117,159,186
2016-11-14_20:57:27,117,159,181
2016-11-14_20:57:28,118,164,186
2016-11-14_20:57:29,117,165,192
2016-11-14_20:57:30,116,164,189
2016-11-14_20:57:30,119,167,191
2016-11-14_20:57:31,124,172,198
2016-11-14_20:57:32,124,172,198
2016-11-14_20:57:33,125,174,205
2016-11-14_20:57:34,125,174,205
2016-11-14_20:57:35,125,174,205
2016-11-14_20:57:35,125,172,201
2016-11-14_20:57:36,123,169,197
2016-11-14_20:57:37,120,167,201
2016-11-14_20:57:38,118,164,200
2016-11-14_20:57:39,115,157,193
2016-11-14_20:57:40,115,152,184
2016-11-14_20:57:40,113,151,186
2016-11-14_20:57:41,111,148,182
2016-11-14_20:57:42,106,144,175
2016-11-14_20:57:43,105,141,173
2016-11-14_20:57:44,105,144,176
2016-11-14_20:57:45,104,140,173
2016-11-14_20:57:45,104,138,166
2016-11-14_20:57:46,104,138,166
2016-11-14_20:57:47,104,138,166
2016-11-14_20:57:48,102,138,165
2016-11-14_20:57:49,102,138,165
2016-11-14_20:57:50,102,138,165
2016-11-14_20:57:50,101,137,165
2016-11-14_20:57:51,101,137,165
2016-11-14_20:57:52,101,137,165
2016-11-14_20:57:53,97,135,164
2016-11-14_20:57:54,97,135,164
2016-11-14_20:57:55,97,135,164
2016-11-14_20:57:55,97,135,161
2016-11-14_20:57:56,95,133,163
2016-11-14_20:57:57,96,133,165
2016-11-14_20:57:58,97,135,159
2016-11-14_20:57:59,97,133,157
2016-11-14_20:58:00,98,137,163
2016-11-14_20:58:00,97,139,165
2016-11-14_20:58:02,100,141,169
2016-11-14_20:58:03,100,143,171
2016-11-14_20:58:03,98,144,171
2016-11-14_20:58:04,98,142,172
2016-11-14_20:58:05,96,138,166
2016-11-14_20:58:06,94,136,160
2016-11-14_20:58:07,94,136,161
2016-11-14_20:58:08,92,135,159
2016-11-14_20:58:08,88,127,149
2016-11-14_20:58:09,91,126,146
2016-11-14_20:58:10,88,123,140
2016-11-14_20:58:11,86,119,137
2016-11-14_20:58:12,87,118,136
2016-11-14_20:58:13,83,113,127
2016-11-14_20:58:13,86,117,132
2016-11-14_20:58:14,83,112,127
2016-11-14_20:58:15,78,105,120
2016-11-14_20:58:16,76,103,118
2016-11-14_20:58:17,75,102,120
2016-11-14_20:58:18,74,103,124
2016-11-14_20:58:18,75,105,125
2016-11-14_20:58:19,75,105,125
2016-11-14_20:58:20,75,105,125
2016-11-14_20:58:21,79,108,127
2016-11-14_20:58:22,79,108,127
2016-11-14_20:58:23,79,108,127
2016-11-14_20:58:23,78,107,125
2016-11-14_20:58:24,83,113,132
2016-11-14_20:58:25,83,116,132
2016-11-14_20:58:26,86,119,139
2016-11-14_20:58:27,89,125,151
2016-11-14_20:58:28,89,127,153
2016-11-14_20:58:28,91,130,155
2016-11-14_20:58:29,91,127,152
2016-11-14_20:58:30,89,126,153
2016-11-14_20:58:31,86,120,152
2016-11-14_20:58:32,86,120,154
2016-11-14_20:58:33,83,116,152
2016-11-14_20:58:33,80,113,145
2016-11-14_20:58:34,77,105,135
2016-11-14_20:58:35,72,99,122
2016-11-14_20:58:36,66,89,112
2016-11-14_20:58:37,66,88,109
2016-11-14_20:58:38,66,88,108
2016-11-14_20:58:38,67,89,107
2016-11-14_20:58:39,68,91,103
2016-11-14_20:58:40,68,92,102
2016-11-14_20:58:41,70,96,105
2016-11-14_20:58:42,70,97,111
2016-11-14_20:58:43,77,107,123
2016-11-14_20:58:43,83,116,131
2016-11-14_20:58:44,89,125,145
2016-11-14_20:58:45,91,127,152
2016-11-14_20:58:46,89,127,154
2016-11-14_20:58:47,89,127,154
2016-11-14_20:58:48,89,128,155
2016-11-14_20:58:48,89,127,153
2016-11-14_20:58:49,89,127,153
2016-11-14_20:58:50,89,127,153
2016-11-14_20:58:51,93,131,159
2016-11-14_20:58:52,93,131,159
2016-11-14_20:58:53,93,131,159
2016-11-14_20:58:53,94,133,164
2016-11-14_20:58:54,94,133,164
2016-11-14_20:58:55,94,133,164
2016-11-14_20:58:56,94,133,163
2016-11-14_20:58:57,94,133,163
2016-11-14_20:58:58,94,133,163
2016-11-14_20:58:58,91,129,158
2016-11-14_20:58:59,86,125,152
2016-11-14_20:59:00,83,120,150
2016-11-14_20:59:01,82,117,146
2016-11-14_20:59:02,78,113,137
2016-11-14_20:59:03,77,112,132
2016-11-14_20:59:03,76,109,132
2016-11-14_20:59:04,72,105,128
2016-11-14_20:59:05,71,104,126
2016-11-14_20:59:06,70,104,124
2016-11-14_20:59:07,74,107,126
2016-11-14_20:59:08,75,106,126
2016-11-14_20:59:08,75,107,123
2016-11-14_20:59:09,75,107,123
2016-11-14_20:59:10,75,107,123
2016-11-14_20:59:11,76,109,123
2016-11-14_20:59:12,77,113,129
2016-11-14_20:59:13,79,116,132
2016-11-14_20:59:13,79,118,144
2016-11-14_20:59:14,82,120,146
2016-11-14_20:59:15,83,120,145
2016-11-14_20:59:16,84,120,152
2016-11-14_20:59:17,84,120,151
2016-11-14_20:59:18,85,124,156
2016-11-14_20:59:18,86,125,156
2016-11-14_20:59:19,86,124,156
2016-11-14_20:59:20,86,124,156
2016-11-14_20:59:21,87,125,158
2016-11-14_20:59:22,87,125,158
2016-11-14_20:59:23,87,125,158
2016-11-14_20:59:23,88,125,149
2016-11-14_20:59:24,88,125,149
2016-11-14_20:59:25,88,125,149
2016-11-14_20:59:26,88,124,146
2016-11-14_20:59:27,88,125,146
2016-11-14_20:59:28,88,125,146
2016-11-14_20:59:28,89,127,150
2016-11-14_20:59:29,89,127,150
2016-11-14_20:59:30,89,126,149
2016-11-14_20:59:31,89,126,145
2016-11-14_20:59:32,89,126,145
